STT,HÁN TỰ,PINYIN,TỪ LOẠI,HÁN VIỆT,NGHĨA TIẾNG VIỆT,NGHĨA TIẾNG ANH,ÔN TẬP,CHECK,CÂU VÍ DỤ,NGHĨA CÂU
123,及时,jíshí,"Phó từ, Tính từ",CẬP THÌ,"đúng lúc, kịp thời, kịp lúc (nhấn mạnh tính kịp thời, đúng lúc về mặt thời gian nhằm tránh một hậu quả xấu hoặc kết quả không mong đợi)",timely,及时,TRUE,如果没有大家的帮助，我们不能及时地解决这个问题。,"Nếu không có sự giúp đỡ của mọi người, chúng ta đã không thể giải quyết vấn đề này một cách kịp thời."
124,接着,jiēzhe,Phó từ,TIẾP TRƯỚC,"tiếp theo, ngay sau đó (sự tiếp nối hành động ngay sau đó)",then,接着,TRUE,我每天早上都会先锻炼一会儿，接着吃早饭。,Tôi tập thể dục một lúc mỗi sáng trước khi ăn sáng.
125,想法,xiǎngfǎ,"Danh từ, Động từ",TƯỞNG PHÁP,"cách nghĩ, ý nghĩ, suy nghĩ, quan điểm; tìm cách, nghĩ cách",idea,想法,TRUE,我的想法跟你的是不一样。,Cách nghĩ của tôi khác với bạn.
126,理解,lǐjiě,Động từ,LÝ GIẢI,"hiểu, nắm rõ, thấu hiểu; thông cảm",understand,理解,TRUE,两个人在一起，需要互相理解和接受对方的缺点和优点。,"Khi hai người ở bên nhau, họ cần hiểu và chấp nhận những điểm yếu và điểm mạnh của nhau."
127,一生,yīshēng,Danh từ,NHẤT SINH,"cả đời, một đời, trọn đời, suốt đời",lifetime,一生,TRUE,我们的一生中会遇到一件非常重要的事情，那就是结婚。,Một trong những sự kiện quan trọng nhất mà chúng ta sẽ trải qua trong đời là hôn nhân.
128,互相理解,hùxiānglǐjiě,Cụm từ,HỖ TƯƠNG LÝ GIẢI,thấu hiểu lẫn nhau,Mutual understanding,互相理解,TRUE,结婚更需要两个人互相理解和接受。不仅要接受对方的优点，而且要接受缺点。,Hôn nhân đòi hỏi sự thấu hiểu và chấp nhận lẫn nhau từ cả hai phía. Điều đó có nghĩa là chấp nhận không chỉ điểm mạnh mà cả điểm yếu của đối phương.
129,互相关心,hùxiāngguānxīn,Cụm từ,HỖ TƯƠNG QUAN TÂM,quan tâm lẫn nhau,care for each other,互相关心,TRUE,爱情不仅需要浪漫，而且跟需要互相关心。,Tình yêu không chỉ cần sự lãng mạn mà còn cần sự quan tâm lẫn nhau.
130,出生,chūshēng,Động từ,XUẤT SINH,"sinh ra, ra đời, chào đời",born,出生,TRUE,每个人一出生就跟家人一起生活。,Ai cũng sống cùng gia đình từ khi sinh ra.
131,身边,shēnbiān,Danh từ,THÂN BIÊN,"bên cạnh, bên mình",Around,身边,TRUE,不要在远远的地方找，幸福就在我们身边。,Đừng tìm kiếm nó ở nơi xa xôi; hạnh phúc luôn ở xung quanh chúng ta.
132,缺少,quēshǎo,Động từ,KHUYẾT THIỂU,"thiếu, không có",Lack,缺少,TRUE,生活不缺少美。,Cuộc sống tràn đầy vẻ đẹp.
133,发生,fāshēng,Động từ,PHÁT SINH,"phát sinh, xảy ra",occur,发生,TRUE,他们的关系发生了改变。,Mối quan hệ của họ đã thay đổi.
134,出发,chūfā,Động từ,XUẤT PHÁT,"xuất phát, rời đi",Set off,出发,TRUE,明天早上八点我们要从这个地方出发到城市。,Tám giờ sáng mai chúng ta cần xuất phát từ nơi này để đến thành phố.
135,面貌,miànmào,Danh từ,DIỆN MẠO,"diện mạo, bộ mặt",face,面貌,TRUE,近年来中国的面貌有很大的改变。,Diện mạo của Trung Quốc đã có sự thay đổi lớn trong những năm gần đây.
136,价格,jiàgé,Danh từ,GIÁ CÁCH,"giá cả, giá tiền",price,价格,TRUE,这个产品的价格太贵了。,Sản phẩm này quá đắt.
137,产品,chǎnpǐn,Danh từ,SẢN PHẨM,"sản phẩm, hàng hóa",product,产品,TRUE,这两种产品的样子相同，但是价格倒有很大的差别。,"Hai sản phẩm này trông giống hệt nhau, nhưng giá cả lại khác biệt đáng kể."
138,正好,zhènghǎo,"Phó từ, Tính từ",CHÍNH HẢO,"vừa đủ, vừa vặn; đúng lúc, đúng dịp (nhấn mạnh sự trùng hợp ngẫu nhiên, vừa khớp về thời gian, địa điểm, hoàn cảnh...)",Just right,正好,TRUE,你来得正好，我们刚开始，快来坐下吧。,"Cậu đến thật đúng lúc, chúng tôi vừa mới bắt đầu, mau đến ngồi xuống đi."
139,差不多,chàbuduō,"Tính từ, Phó từ",SAI BẤT ĐA,"xấp xỉ, gần như nhau, gần giống nhau; xấp xỉ, gần, gần như, khoảng",almost,差不多,TRUE,1/这两件衣服差不多，你买一件就好了。2/我来中国差不多一年了。,"1/ Hai món đồ này giống nhau; bạn chỉ cần mua một cái thôi.
2/ Tôi đã ở Trung Quốc gần một năm rồi."
140,一路平安,yīlùpíngān,Thành ngữ,NHẤT LỘ BÌNH AN,"thượng lộ bình an, chúc người ta đi đường thuận lợi, an toàn, bình an",Have a safe journey,一路平安,TRUE,这次去北京旅游，祝你一路平安！,Chúc bạn có một chuyến đi an toàn đến Bắc Kinh!
141,一见钟情,yījiànzhōngqíng,Thành ngữ,NHẤT KIẾN CHUNG TÌNH,yêu từ cái nhìn đầu tiên,love at first sight,一见钟情,TRUE,我对她一见钟情。,Tôi yêu cô ấy ngay từ cái nhìn đầu tiên.
142,日久生情,rìjiǔshēngqíng,Thành ngữ,NHẬT CỬU SINH TÌNH,ở cạnh nhau lâu ngày ắt sẽ nảy sinh tình cảm,Love grows over time,日久生情,TRUE,日久生情，这句子就是男女长时间在一起，一定出现互相感情。,"Câu tục ngữ ""quen biết sinh ra tình cảm"" có nghĩa là khi một người đàn ông và một người phụ nữ dành nhiều thời gian bên nhau, tình cảm giữa họ chắc chắn sẽ nảy sinh."
143,适应,shìyìng,Động từ,THÍCH ỨNG,"thích nghi, thích ứng",adapt,适应,TRUE,你适应这儿的生活了吗？,Bạn đã ổn định cuộc sống ở đây chưa?
144,交,jiāo,Động từ,GIAO,"kết giao, giao, nộp",pay,交,TRUE,我喜欢交新朋友。,Tôi thích kết bạn mới.
145,逛,guàng,Động từ,CUỐNG,"đi dạo, dạo chơi",visit,逛,TRUE,我常常跟朋友逛街。,Tôi thường đi dạo đường phố với bạn bè.
146,短信,duǎnxìn,Danh từ,ĐOẢN TÍN,tin nhắn,Short message,短信,TRUE,我刚发个短信，你看了吗？,"Tôi vừa gửi một tin nhắn, bạn đã thấy chưa?"
147,联系,liánxì,"Động từ, Danh từ",LIÊN HỆ,"liên hệ, liên lạc; mối liên hệ",connect,联系,TRUE,你们现在还联系吗？,Bạn vẫn còn giữ liên lạc chứ?
148,练习,liànxí,Động từ,LUYỆN TẬP,luyện tập,practise,练习,TRUE,我要练习今天课作业。,Tôi cần phải làm bài tập về nhà hôm nay.
149,专门,zhuānmén,"Phó từ, Tính từ",CHUYÊN MÔN,"đặc biệt, riêng biệt + V; chuyên, chuyên môn",specialized,专门,TRUE,春节快到了，他专门为每一位同学准备了一份特别的礼物。,"Tết Nguyên đán sắp đến, cô ấy đã đặc biệt chuẩn bị một phần quà đặc biệt cho mỗi bạn học."
150,毕业,bìyè,Động từ ly hợp,TẤT NGHIỆP,tốt nghiệp,graduate,毕业,TRUE,他毕业以后就去上海工作。,"Sau khi tốt nghiệp, anh ấy đến làm việc tại Thượng Hải."
151,麻烦,máfan,"Động từ, Tính từ, Danh từ",MA PHIỀN,"làm phiền, phiền (ai đó làm gì giúp); phiền phức, rắc rối; phiền phức, phiền toái",trouble,麻烦,TRUE,麻烦你跟他联系一下。,Phiền bạn liên lạc với anh ấy.
152,打扰,dǎrǎo,Động từ,ĐẢ NHIỄU,"làm phiền, quấy rầy",disturb,打扰,TRUE,对不起，打扰你休息了。,Xin lỗi vì đã quấy rầy bạn nghỉ ngơi rồi.
153,重新,chóngxīn,Phó từ,TRÙNG TÂN,"lần nữa, lại lần nữa",again,重新,TRUE,我想重新回到了学校的时间。,Tôi muốn trở lại khoảng thời gian đi học lần nữa.
154,尽管,jǐnguǎn,"Phó từ, Liên từ",TẪN QUẢN,"(phó): cứ, cứ việc, thoải mái; (liên): cho dù, mặc dù, dù rằng",although,尽管,TRUE,尽管很多年没见，我们还是好朋友。,"Mặc dù đã nhiều năm không gặp nhau, chúng ta vẫn là bạn tốt."
155,真正,zhēnzhèng,"Tính từ, Phó từ",CHÂN CHÍNH,"chân chính, thật sự, đích thực, chính hiệu; thực sự",real,真正,TRUE,你遇到困难的时候，真正的朋友总是在你身边帮你想想解决办法。,"Khi bạn gặp khó khăn, những người bạn chân thành luôn ở bên cạnh bạn, giúp bạn tìm ra giải pháp."
156,友谊,yǒuyì,Danh từ,HỮU NGHỊ,tình bạn， 一段友谊: một tình bạn (lượng từ cho 友谊 là 段),friendship,友谊,TRUE,我们之间的友谊很深厚。,Tình bạn của chúng tôi rất sâu đậm.
157,丰富,fēngfù,"Động từ, Tính từ",PHONG PHÚ,làm phong phú; phong phú,Rich,丰富,TRUE,朋友可以丰富我们的生活。看书可以丰富我们的知识。,Bạn bè có thể làm phong phú thêm cuộc sống của chúng ta. Đọc sách có thể làm giàu thêm kiến ​​thức của chúng ta.
158,无聊,wúliáo,Tính từ,VÔ LIÊU,"vô vị, nhàm chán, buồn chán, tẻ nhạt",boring,无聊,TRUE,离开朋友，我们的生活一定会非常无聊。,Cuộc sống của chúng ta sẽ vô cùng nhàm chán nếu thiếu bạn bè.
159,讨厌,tǎoyàn,"Động từ, Tính từ",THẢO YẾM,ghét; đáng ghét,Hate,讨厌,TRUE,我讨厌交流一个容易生气的人。,Tôi ghét phải giao tiếp với người dễ nổi nóng.
160,却,què,Phó từ,KHƯỚC,"lại, nhưng mà, nhưng lại, mà lại",but,却,TRUE,她做的菜平时不太好吃，但是这次却很好吃。,"Món ăn cô ấy nấu bình thường không ngon lắm, nhưng lần này lại rất ngon."
161,周围,zhōuwéi,Danh từ,CHU VI,"xung quanh, chung quanh, chu vi",around,周围,TRUE,我喜欢跟周围的人交流。,Tôi thích giao lưu với mọi người xung quanh.
162,交流,jiāoliú,Động từ,GIAO LƯU,"giao lưu, trao đổi",comminicate,交流,TRUE,我喜欢跟外国朋友交流文化。,Tôi thích giao lưu văn hóa với bạn bè nước ngoài.
163,镜子,jìngzi,Danh từ,KÍNH TỬ,"gương, gương soi (lượng từ: 面、个)",Mirror,镜子,TRUE,墙上挂着一面镜子。,Trên tường có treo một tấm gương.
164,而,ér,Liên từ,NHI,"trong khi đó, mà, mà lại",and,而,TRUE,生活很忙，而我很快乐。,"Cuộc sống rất bận rộn, mà tôi rất vui."
165,当,dāng,Giới từ,ĐƯƠNG,"khi, lúc",when,当,TRUE,当我回家时，天已经黑了。,Lúc tôi về đến nhà thì trời đã tối rồi.
166,当时,dàngshí,Danh từ,ĐƯƠNG THÌ,"lúc đó, khi đó, khi ấy",then,当时,TRUE,我记不清楚当时的情况怎么样。,Tôi không nhớ rõ tình hình lúc đó thế nào.
167,陪,péi,Động từ,BỒI,"cùng, theo cùng, đi cùng, ở bên (cạnh)",accompany,陪,TRUE,这个周末我在家陪孩子。,Cuối tuần này tôi ở nhà cùng các con.
168,那么,nàme,"Đại từ, Liên từ",NA MA,"như vậy, như thế; thì, vậy thì",So,那么,TRUE,每个人都要找到真正的友谊。那么，怎样才能交到一个好朋友？,Ai cũng cần tìm kiếm tình bạn chân thành. Vậy làm thế nào để có được một người bạn tốt?
169,好处,hǎochù,Danh từ,HẢO XỨ,"lợi ích, ích lợi, có lợi, có ích",benefit,好处,TRUE,我们都知道交朋友的好处。,Ai cũng biết lợi ích của việc kết bạn.
170,与,yǔ,Giới từ,DỮ,"cùng, với, cùng với",and,与,TRUE,生死与共。,Sống chết cùng nhau.
171,大多数,dàduōshù,Danh từ,ĐẠI ĐA SỐ,"đại đa số, phần lớn",most,大多数,TRUE,大多数越南人喜欢看历史电影，特别是《红雨》。,"Đa số người Việt Nam thích xem phim lịch sử, đặc biệt là phim ""Mưa Đỏ""."
172,例如,lìrú,Động từ,LỆ NHƯ,"ví dụ như, lấy ví dụ như",For example,例如,TRUE,我喜欢很多水果，例如是香蕉、西瓜、苹果等等。,"Tôi thích nhiều loại trái cây, chẳng hạn như chuối, dưa hấu, táo, vân vân."
173,比如,bǐrú,Động từ,TỈ NHƯ,"ví dụ như, chẳng hạn",for example,比如,TRUE,这是一个很好的比如。,Đây là một ví dụ điển hình.
174,友情,yǒuqíng,Danh từ,HỮU TÌNH,tình bạn,Friendship,友情,TRUE,朋友之间需要互相理解。,Bạn bè cần hiểu nhau.
175,食堂,shítáng,Danh từ,THỰC ĐƯỜNG,"nhà ăn, căng tin",canteen,食堂,TRUE,我在学校食堂吃午饭。,Tôi ăn trưa ở căng tin trường.
176,证,zhèng,"Danh từ, Động từ",CHỨNG,"chứng cứ, minh chứng; chứng minh",certificate,证,TRUE,我姓证。,Họ của tôi là Zheng.
177,实际,shíjì,"Danh từ, Tính từ, Phó từ",THỰC TẾ,thực tế,actual,实际,TRUE,赚钱是一件很实际的是。,Kiếm tiền là một việc rất thực tế.
178,实际上,shíjìshàng,Cụm từ,THỰC TẾ THƯỢNG,trên thực tế,In fact,实际上,TRUE,实际上，很多人认为这件事是真的。,"Thực tế, nhiều người tin điều này là đúng."
179,长城,chángchéng,Danh từ,TRƯỜNG THÀNH,Trường Thành,Great Wall,长城,TRUE,不到长城非好汉。,Người nào chưa từng leo Vạn Lý Trường Thành thì chưa phải là anh hùng thực sự.
180,万里长城,wànlǐchángchéng,Danh từ,VẠN LÝ TRƯỜNG THÀNH,Vạn Lý Trường Thành,Great Wall,万里长城,TRUE,我想去北京参观万里长城。,Tôi muốn đến thăm Vạn Lý Trường Thành ở Bắc Kinh.
181,经历,jīnglì,"Động từ, Danh từ",KINH LỊCH,"trải nghiệm, trải qua; những việc đã trải qua, trải nghiệm",experience,经历,TRUE,他经历很多不高兴的事经。,Anh ấy đã trải qua nhiều chuyện không mấy dễ chịu.
182,经验,jīngyàn,Danh từ,KINH NGHIỆM,kinh nghiệm,experience,经验,TRUE,他的工作经验很丰富，同事谁都羡慕他。,"Kinh nghiệm làm việc của anh ấy rất phong phú, đồng nghiệp ai cũng ngưỡng mộ anh ấy."
183,安全,ānquán,"Danh từ, Tính từ",AN TOÀN,an toàn,Safety,安全,TRUE,一个人去旅行时，要注意安全。,"Khi đi du lịch một mình, hãy nhớ chú ý đến vấn đề an toàn."
184,预约,yùyuē,Danh từ,DỰ ƯỚC,cuộc hẹn,reserve,预约,TRUE,今天下午我有一个很重要的预约。,Tôi có một cuộc hẹn rất quan trọng chiều nay.
185,流行,liúxíng,"Tính từ, Động từ",LƯU HÀNH,"hot, phổ biến, thịnh hành, được ưa chuộng; lưu hành, thịnh hành",Popularity,流行,TRUE,这种音乐最近很流行。,Loại nhạc này đang rất được ưa chuộng gần đây.
186,公寓,gōngyù,Danh từ,CÔNG NGỤ,"căn hộ, chung cư",apartment,公寓,TRUE,我住在这个公寓。,Tôi sống trong căn hộ này.
187,兴奋,xīngfèn,"Tính từ, Động từ",HƯNG PHẤN,"phấn khích, háo hức, phấn khởi, hăng hái",excited,兴奋,TRUE,她很兴奋。,Cô ấy rất phấn khởi.
188,肚子,dùzi,Danh từ,ĐỖ TỬ,cái bụng,abdomen,肚子,TRUE,我的肚子很疼，我不知道我有没有吃什么奇怪的东西。,"Tôi đau bụng dữ dội, và tôi không biết mình có ăn phải thứ gì lạ không."
189,夜宵,yèxiāo,Danh từ,DẠ TIÊU,bữa ăn đêm,night snack,夜宵,TRUE,他在吃夜宵。,Anh ấy đang ăn nhẹ vào đêm khuya.
190,惊喜,jīngxǐ,Tính từ,KINH HỈ,"bất ngờ, ngạc nhiên (do vui mừng)",surprise,惊喜,TRUE,他对这个消息很惊喜。,Ông ấy đã rất bất ngờ và vui mừng trước tin tức đó.
191,友好,yǒuhǎo,Tính từ,HỮU HẢO,thân thiện,friendly,友好,TRUE,我喜欢这个城市主要是因为这里的人非常友好。,Tôi thích thành phố này chủ yếu vì người dân ở đây rất thân thiện.
192,好友,hǎoyǒu,Danh từ,HẢO HỮU,"bạn thân, bạn chí cốt",Friends,好友,TRUE,王康是我最好的好友。,Wang Kang là bạn thân nhất của tôi.
193,压力,yālì,Danh từ,ÁP LỰC,"áp lực, stress, căng thẳng",pressure,压力,TRUE,他最近工作压力很大。,Gần đây anh ấy phải chịu rất nhiều áp lực công việc.
194,健身房,jiànshēnfáng,Danh từ,KIỆN THÂN PHÒNG,"phòng gym, phòng tập thể hình",Gym,健身房,TRUE,为了身体健康，他每天都去健身房锻炼身体。,"Vì sức khỏe của mình, anh ấy đến phòng tập thể dục mỗi ngày để tập luyện."
195,导演,dǎoyǎn,Danh từ,ĐẠO DIỄN,đạo diễn,director,导演,TRUE,这部电影的导演很有名，也很厉害。,Đạo diễn của bộ phim này rất nổi tiếng và rất tài năng.
196,东京,dōngjīng,Danh từ,ĐÔNG KINH,Tokyo,Tokyo,东京,TRUE,东京是日本的首都。,Tokyo là thủ đô của Nhật Bản.
197,遛狗,liùgǒu,Động từ,LƯU CẨU,dắt chó đi dạo,walking the dog,遛狗,TRUE,他每天都遛狗十五分钟。,Mỗi ngày ông ấy dắt chó đi dạo mười lăm phút.
198,厉害,lìhai,Tính từ,LỆ HẠI,"lợi hại, cừ, tài giỏi, ghê gớm, dữ dội",sharp,厉害,TRUE,你真厉害！,Bạn thật lợi hại!
199,浪费,làngfèi,Động từ,LÃNG PHÍ,lãng phí,waste,浪费,TRUE,不要浪费钱买这些无用东西。,Đừng lãng phí tiền mua những thứ vô dụng này.
